# Region type : patch inlet
# Faces  :     460
# Area   :     7.5346137e-05
# Time         	average(U)	average(p)	average(T)	average(rho)
2.52496e-05    	(9.8265797e-01 -1.3958823e-05 -7.6189927e-01)	1.0050304e+05	2.9399837e+02	1.1882219e+00
2.56252e-05    	(1.0037001e+00 -1.3831810e-05 -7.7831175e-01)	1.0051047e+05	2.9399830e+02	1.1883100e+00
2.60008e-05    	(1.0248579e+00 -1.3596365e-05 -7.9481374e-01)	1.0051790e+05	2.9399823e+02	1.1883981e+00
2.63765e-05    	(1.0461241e+00 -1.3248780e-05 -8.1140426e-01)	1.0052533e+05	2.9399816e+02	1.1884862e+00
2.67521e-05    	(1.0674920e+00 -1.2725257e-05 -8.2808233e-01)	1.0053276e+05	2.9399809e+02	1.1885743e+00
2.71277e-05    	(1.0889531e+00 -1.2010804e-05 -8.4484140e-01)	1.0054018e+05	2.9399802e+02	1.1886624e+00
2.75034e-05    	(1.1104920e+00 -1.1186779e-05 -8.6166442e-01)	1.0054760e+05	2.9399794e+02	1.1887505e+00
2.7879e-05     	(1.1320964e+00 -1.0315419e-05 -8.7853748e-01)	1.0055502e+05	2.9399786e+02	1.1888385e+00
2.82546e-05    	(1.1537590e+00 -9.3905296e-06 -8.9545264e-01)	1.0056244e+05	2.9399779e+02	1.1889265e+00
2.86302e-05    	(1.1754752e+00 -8.3460180e-06 -9.1240714e-01)	1.0056986e+05	2.9399771e+02	1.1890145e+00
2.90059e-05    	(1.1972369e+00 -7.0946886e-06 -9.2939917e-01)	1.0057727e+05	2.9399762e+02	1.1891025e+00
2.93815e-05    	(1.2190399e+00 -5.6369991e-06 -9.4643102e-01)	1.0058469e+05	2.9399754e+02	1.1891905e+00
2.97571e-05    	(1.2408810e+00 -4.0395467e-06 -9.6350002e-01)	1.0059210e+05	2.9399746e+02	1.1892785e+00
3.01328e-05    	(1.2627506e+00 -2.2868312e-06 -9.8059570e-01)	1.0059951e+05	2.9399737e+02	1.1893664e+00
3.05084e-05    	(1.2846435e+00 -3.5936128e-07 -9.9771066e-01)	1.0060691e+05	2.9399728e+02	1.1894543e+00
3.0884e-05     	(1.3065498e+00 1.9251123e-06 -1.0148337e+00)	1.0061432e+05	2.9399719e+02	1.1895422e+00
3.12597e-05    	(1.3284742e+00 4.4187804e-06 -1.0319730e+00)	1.0062172e+05	2.9399710e+02	1.1896301e+00
3.16353e-05    	(1.3504245e+00 7.1414396e-06 -1.0491385e+00)	1.0062912e+05	2.9399701e+02	1.1897180e+00
3.20109e-05    	(1.3723920e+00 9.8111115e-06 -1.0663270e+00)	1.0063652e+05	2.9399691e+02	1.1898059e+00
3.23865e-05    	(1.3943606e+00 1.2607640e-05 -1.0835230e+00)	1.0064392e+05	2.9399682e+02	1.1898937e+00
3.27622e-05    	(1.4163340e+00 1.5634111e-05 -1.1007275e+00)	1.0065131e+05	2.9399672e+02	1.1899816e+00
3.31378e-05    	(1.4383105e+00 1.8840023e-05 -1.1179372e+00)	1.0065871e+05	2.9399662e+02	1.1900694e+00
3.35134e-05    	(1.4602939e+00 2.2148887e-05 -1.1351545e+00)	1.0066610e+05	2.9399652e+02	1.1901572e+00
3.38891e-05    	(1.4822908e+00 2.5540643e-05 -1.1523863e+00)	1.0067349e+05	2.9399642e+02	1.1902450e+00
3.42647e-05    	(1.5043119e+00 2.9042636e-05 -1.1696463e+00)	1.0068088e+05	2.9399632e+02	1.1903327e+00
3.46403e-05    	(1.5263646e+00 3.2663978e-05 -1.1869415e+00)	1.0068827e+05	2.9399621e+02	1.1904205e+00
3.5016e-05     	(1.5484573e+00 3.6476420e-05 -1.2042765e+00)	1.0069565e+05	2.9399611e+02	1.1905082e+00
3.53916e-05    	(1.5705973e+00 4.0546656e-05 -1.2216552e+00)	1.0070303e+05	2.9399600e+02	1.1905960e+00
3.57672e-05    	(1.5927809e+00 4.4907819e-05 -1.2390738e+00)	1.0071041e+05	2.9399589e+02	1.1906837e+00
3.61428e-05    	(1.6150094e+00 4.9701640e-05 -1.2565351e+00)	1.0071779e+05	2.9399578e+02	1.1907713e+00
3.65185e-05    	(1.6372855e+00 5.4885425e-05 -1.2740377e+00)	1.0072517e+05	2.9399566e+02	1.1908590e+00
3.68941e-05    	(1.6596013e+00 6.0152586e-05 -1.2915758e+00)	1.0073254e+05	2.9399555e+02	1.1909467e+00
3.72697e-05    	(1.6819704e+00 6.5521990e-05 -1.3091634e+00)	1.0073992e+05	2.9399543e+02	1.1910343e+00
3.76454e-05    	(1.7044085e+00 7.1077664e-05 -1.3268164e+00)	1.0074729e+05	2.9399531e+02	1.1911219e+00
3.8021e-05     	(1.7269193e+00 7.6913259e-05 -1.3445397e+00)	1.0075465e+05	2.9399519e+02	1.1912095e+00
3.83966e-05    	(1.7495011e+00 8.3042330e-05 -1.3623315e+00)	1.0076202e+05	2.9399507e+02	1.1912971e+00
3.87723e-05    	(1.7721534e+00 8.9436880e-05 -1.3801908e+00)	1.0076938e+05	2.9399495e+02	1.1913846e+00
3.91479e-05    	(1.7948768e+00 9.6050236e-05 -1.3981170e+00)	1.0077674e+05	2.9399482e+02	1.1914722e+00
3.95235e-05    	(1.8176733e+00 1.0277716e-04 -1.4161107e+00)	1.0078410e+05	2.9399469e+02	1.1915597e+00
3.98992e-05    	(1.8405428e+00 1.0947670e-04 -1.4341666e+00)	1.0079146e+05	2.9399456e+02	1.1916472e+00
4.02748e-05    	(1.8634866e+00 1.1613484e-04 -1.4522837e+00)	1.0079881e+05	2.9399443e+02	1.1917347e+00
4.06504e-05    	(1.8865047e+00 1.2285294e-04 -1.4704619e+00)	1.0080616e+05	2.9399430e+02	1.1918221e+00
4.1026e-05     	(1.9095971e+00 1.2975561e-04 -1.4887046e+00)	1.0081351e+05	2.9399416e+02	1.1919096e+00
4.14017e-05    	(1.9327757e+00 1.3693785e-04 -1.5070284e+00)	1.0082086e+05	2.9399402e+02	1.1919970e+00
4.17773e-05    	(1.9560554e+00 1.4440998e-04 -1.5254504e+00)	1.0082820e+05	2.9399388e+02	1.1920844e+00
4.21529e-05    	(1.9794418e+00 1.5212760e-04 -1.5439735e+00)	1.0083554e+05	2.9399374e+02	1.1921718e+00
4.25286e-05    	(2.0029286e+00 1.6001152e-04 -1.5625904e+00)	1.0084288e+05	2.9399360e+02	1.1922591e+00
4.29042e-05    	(2.0265120e+00 1.6796746e-04 -1.5812909e+00)	1.0085022e+05	2.9399345e+02	1.1923464e+00
4.32798e-05    	(2.0501865e+00 1.7591053e-04 -1.6000620e+00)	1.0085755e+05	2.9399330e+02	1.1924337e+00
4.36555e-05    	(2.0739387e+00 1.8379499e-04 -1.6188916e+00)	1.0086488e+05	2.9399315e+02	1.1925210e+00
4.40311e-05    	(2.0977584e+00 1.9163985e-04 -1.6377700e+00)	1.0087221e+05	2.9399300e+02	1.1926083e+00
4.44067e-05    	(2.1216284e+00 1.9948448e-04 -1.6566850e+00)	1.0087954e+05	2.9399284e+02	1.1926955e+00
4.47823e-05    	(2.1455435e+00 2.0743452e-04 -1.6756379e+00)	1.0088686e+05	2.9399268e+02	1.1927827e+00
4.5158e-05     	(2.1695167e+00 2.1569010e-04 -1.6946457e+00)	1.0089418e+05	2.9399252e+02	1.1928699e+00
4.55336e-05    	(2.1935698e+00 2.2434903e-04 -1.7137321e+00)	1.0090150e+05	2.9399236e+02	1.1929571e+00
4.59092e-05    	(2.2177095e+00 2.3325483e-04 -1.7329029e+00)	1.0090881e+05	2.9399220e+02	1.1930443e+00
4.62849e-05    	(2.2419331e+00 2.4230341e-04 -1.7521483e+00)	1.0091613e+05	2.9399203e+02	1.1931314e+00
4.66605e-05    	(2.2662365e+00 2.5140510e-04 -1.7714557e+00)	1.0092344e+05	2.9399187e+02	1.1932185e+00
4.70361e-05    	(2.2905962e+00 2.6028538e-04 -1.7908054e+00)	1.0093074e+05	2.9399170e+02	1.1933056e+00
4.74118e-05    	(2.3150070e+00 2.6891214e-04 -1.8101963e+00)	1.0093805e+05	2.9399152e+02	1.1933927e+00
4.77874e-05    	(2.3394813e+00 2.7745282e-04 -1.8296408e+00)	1.0094535e+05	2.9399135e+02	1.1934797e+00
4.8163e-05     	(2.3640373e+00 2.8612623e-04 -1.8491597e+00)	1.0095265e+05	2.9399117e+02	1.1935667e+00
4.85386e-05    	(2.3886855e+00 2.9510041e-04 -1.8687677e+00)	1.0095995e+05	2.9399099e+02	1.1936537e+00
4.89143e-05    	(2.4134242e+00 3.0434344e-04 -1.8884625e+00)	1.0096724e+05	2.9399081e+02	1.1937407e+00
4.92899e-05    	(2.4382403e+00 3.1362798e-04 -1.9082280e+00)	1.0097453e+05	2.9399063e+02	1.1938276e+00
4.96655e-05    	(2.4631117e+00 3.2270296e-04 -1.9280356e+00)	1.0098182e+05	2.9399044e+02	1.1939145e+00
5.00412e-05    	(2.4880114e+00 3.3142226e-04 -1.9478545e+00)	1.0098910e+05	2.9399025e+02	1.1940014e+00
5.04168e-05    	(2.5129278e+00 3.3973866e-04 -1.9676740e+00)	1.0099639e+05	2.9399006e+02	1.1940883e+00
5.07924e-05    	(2.5378712e+00 3.4772418e-04 -1.9875059e+00)	1.0100367e+05	2.9398987e+02	1.1941752e+00
5.11681e-05    	(2.5628556e+00 3.5549144e-04 -2.0073679e+00)	1.0101094e+05	2.9398967e+02	1.1942620e+00
5.15437e-05    	(2.5879003e+00 3.6328090e-04 -2.0272799e+00)	1.0101822e+05	2.9398948e+02	1.1943488e+00
5.19193e-05    	(2.6130382e+00 3.7135126e-04 -2.0472710e+00)	1.0102549e+05	2.9398928e+02	1.1944356e+00
5.2295e-05     	(2.6382670e+00 3.7980483e-04 -2.0673436e+00)	1.0103276e+05	2.9398908e+02	1.1945224e+00
5.26706e-05    	(2.6635744e+00 3.8844848e-04 -2.0874880e+00)	1.0104003e+05	2.9398887e+02	1.1946091e+00
5.30462e-05    	(2.6889449e+00 3.9678007e-04 -2.1076873e+00)	1.0104729e+05	2.9398867e+02	1.1946958e+00
5.34218e-05    	(2.7143873e+00 4.0426615e-04 -2.1279486e+00)	1.0105455e+05	2.9398846e+02	1.1947825e+00
5.37975e-05    	(2.7398917e+00 4.1116112e-04 -2.1482612e+00)	1.0106181e+05	2.9398825e+02	1.1948692e+00
5.41731e-05    	(2.7654541e+00 4.1832607e-04 -2.1686151e+00)	1.0106906e+05	2.9398803e+02	1.1949558e+00
5.45487e-05    	(2.7910661e+00 4.2583898e-04 -2.1890033e+00)	1.0107631e+05	2.9398782e+02	1.1950424e+00
5.49244e-05    	(2.8167170e+00 4.3315512e-04 -2.2094165e+00)	1.0108356e+05	2.9398760e+02	1.1951290e+00
5.53e-05       	(2.8424207e+00 4.4091836e-04 -2.2298660e+00)	1.0109081e+05	2.9398738e+02	1.1952156e+00
