# Region type : patch inlet
# Faces  :     778
# Area   :     6.2874094e-05
# Time         	average(U)	average(p)	average(T)	average(rho)
0.0920165      	(1.1016272e+01 4.2459723e-01 -9.2679756e+00)	1.9963556e+05	2.9384676e+02	2.3614570e+00
0.0920169      	(1.0875982e+01 3.6327490e-01 -9.1257941e+00)	1.9966322e+05	2.9385841e+02	2.3616908e+00
0.0920172      	(1.0645225e+01 3.1314895e-01 -8.9185270e+00)	1.9969449e+05	2.9387157e+02	2.3619551e+00
0.0920176      	(1.0328781e+01 2.5718150e-01 -8.6330785e+00)	1.9972802e+05	2.9388568e+02	2.3622385e+00
0.092018       	(9.9318434e+00 2.0468762e-01 -8.2747684e+00)	1.9976166e+05	2.9389984e+02	2.3625228e+00
0.0920184      	(9.4608885e+00 1.4731894e-01 -7.8544315e+00)	1.9979327e+05	2.9391313e+02	2.3627899e+00
0.0920188      	(8.9477000e+00 1.0827515e-01 -7.3726882e+00)	1.9981965e+05	2.9392422e+02	2.3630128e+00
0.0920192      	(8.4218968e+00 8.3636930e-02 -6.8633894e+00)	1.9983842e+05	2.9393211e+02	2.3631713e+00
0.0920195      	(7.8953270e+00 5.8882389e-02 -6.3661704e+00)	1.9984839e+05	2.9393630e+02	2.3632555e+00
0.0920199      	(7.4158735e+00 6.3512572e-02 -5.8646140e+00)	1.9985010e+05	2.9393701e+02	2.3632698e+00
0.0920203      	(6.9027777e+00 5.2757388e-02 -5.3608407e+00)	1.9984533e+05	2.9393500e+02	2.3632295e+00
0.0920207      	(6.3730338e+00 3.4388420e-02 -4.9120183e+00)	1.9983652e+05	2.9393129e+02	2.3631551e+00
0.0920211      	(5.8606156e+00 -1.1424152e-02 -4.5181570e+00)	1.9982557e+05	2.9392668e+02	2.3630625e+00
0.0920214      	(5.3980508e+00 -7.9383801e-02 -4.1735212e+00)	1.9981358e+05	2.9392163e+02	2.3629612e+00
0.0920218      	(4.9991439e+00 -1.3712722e-01 -3.8709861e+00)	1.9980129e+05	2.9391646e+02	2.3628573e+00
0.0920222      	(4.6542383e+00 -2.0207823e-01 -3.6151891e+00)	1.9978924e+05	2.9391138e+02	2.3627554e+00
0.0920226      	(4.3560349e+00 -2.7001032e-01 -3.4037550e+00)	1.9977797e+05	2.9390663e+02	2.3626601e+00
0.092023       	(4.0972192e+00 -3.4060975e-01 -3.2280255e+00)	1.9976810e+05	2.9390248e+02	2.3625767e+00
0.0920233      	(3.8749698e+00 -4.1215086e-01 -3.0724340e+00)	1.9976015e+05	2.9389912e+02	2.3625094e+00
0.0920237      	(3.6632892e+00 -4.6029672e-01 -2.9254976e+00)	1.9975463e+05	2.9389679e+02	2.3624627e+00
0.0920241      	(3.4653806e+00 -5.0831664e-01 -2.7854848e+00)	1.9975194e+05	2.9389566e+02	2.3624400e+00
0.0920245      	(3.2716125e+00 -5.3730415e-01 -2.6554495e+00)	1.9975260e+05	2.9389593e+02	2.3624455e+00
0.0920249      	(3.0960579e+00 -5.9168433e-01 -2.5186547e+00)	1.9975704e+05	2.9389780e+02	2.3624830e+00
0.0920252      	(2.9093684e+00 -5.9972663e-01 -2.3867463e+00)	1.9976561e+05	2.9390140e+02	2.3625554e+00
0.0920256      	(2.7332717e+00 -5.9401646e-01 -2.2636875e+00)	1.9977802e+05	2.9390662e+02	2.3626603e+00
0.092026       	(2.5741906e+00 -5.8387935e-01 -2.1656336e+00)	1.9979356e+05	2.9391317e+02	2.3627917e+00
0.0920264      	(2.4456512e+00 -5.4916943e-01 -2.0881166e+00)	1.9981184e+05	2.9392086e+02	2.3629462e+00
0.0920268      	(2.3474870e+00 -5.1314649e-01 -2.0569432e+00)	1.9983213e+05	2.9392941e+02	2.3631177e+00
0.0920271      	(2.2922332e+00 -4.9528659e-01 -2.0315764e+00)	1.9985393e+05	2.9393858e+02	2.3633019e+00
0.0920275      	(2.2813220e+00 -4.6627864e-01 -2.0497381e+00)	1.9987617e+05	2.9394794e+02	2.3634898e+00
0.0920279      	(2.3415933e+00 -4.5097549e-01 -2.0957863e+00)	1.9989818e+05	2.9395720e+02	2.3636758e+00
0.0920283      	(2.4764264e+00 -4.1974269e-01 -2.2034100e+00)	1.9991890e+05	2.9396592e+02	2.3638510e+00
0.0920287      	(2.6995951e+00 -3.7319688e-01 -2.3349129e+00)	1.9993695e+05	2.9397351e+02	2.3640034e+00
0.0920291      	(3.0046838e+00 -2.8907989e-01 -2.5134626e+00)	1.9995085e+05	2.9397935e+02	2.3641209e+00
0.0920294      	(3.3506928e+00 -1.8790107e-01 -2.7000949e+00)	1.9995888e+05	2.9398273e+02	2.3641888e+00
0.0920298      	(3.7203938e+00 -1.6789565e-01 -2.9730132e+00)	1.9995916e+05	2.9398284e+02	2.3641911e+00
0.0920302      	(4.0952007e+00 -1.4770845e-01 -3.3188432e+00)	1.9995114e+05	2.9397947e+02	2.3641234e+00
0.0920306      	(4.4622005e+00 -1.4222384e-01 -3.6850441e+00)	1.9993558e+05	2.9397294e+02	2.3639920e+00
0.092031       	(4.8634943e+00 -6.6656372e-02 -4.0553005e+00)	1.9991458e+05	2.9396411e+02	2.3638145e+00
0.0920313      	(5.2639356e+00 2.5443113e-02 -4.4209433e+00)	1.9988979e+05	2.9395370e+02	2.3636052e+00
0.0920317      	(5.6427968e+00 1.1578090e-01 -4.7856987e+00)	1.9986255e+05	2.9394224e+02	2.3633751e+00
0.0920321      	(6.0017859e+00 2.0634896e-01 -5.1349018e+00)	1.9983413e+05	2.9393029e+02	2.3631349e+00
0.0920325      	(6.3394644e+00 2.8923803e-01 -5.4695729e+00)	1.9980541e+05	2.9391822e+02	2.3628923e+00
0.0920329      	(6.6571950e+00 3.6884894e-01 -5.7871122e+00)	1.9977710e+05	2.9390631e+02	2.3626531e+00
0.0920332      	(6.9530303e+00 4.4490151e-01 -6.0863119e+00)	1.9975004e+05	2.9389493e+02	2.3624244e+00
0.0920336      	(7.2318087e+00 5.1884191e-01 -6.3595683e+00)	1.9972489e+05	2.9388435e+02	2.3622119e+00
0.092034       	(7.4902178e+00 5.8822708e-01 -6.6259871e+00)	1.9970188e+05	2.9387466e+02	2.3620174e+00
0.0920344      	(7.7526345e+00 6.5017593e-01 -6.8737147e+00)	1.9968095e+05	2.9386585e+02	2.3618405e+00
0.0920348      	(7.9948106e+00 7.0630528e-01 -7.1251322e+00)	1.9966259e+05	2.9385812e+02	2.3616853e+00
0.0920351      	(8.2391794e+00 7.6001373e-01 -7.3656945e+00)	1.9964669e+05	2.9385143e+02	2.3615509e+00
0.0920355      	(8.4719599e+00 8.0729798e-01 -7.5884399e+00)	1.9963365e+05	2.9384593e+02	2.3614407e+00
0.0920359      	(8.6790165e+00 8.3593822e-01 -7.8123195e+00)	1.9962343e+05	2.9384162e+02	2.3613542e+00
0.0920363      	(8.8760703e+00 8.5316707e-01 -8.0248863e+00)	1.9961608e+05	2.9383853e+02	2.3612921e+00
0.0920367      	(9.0557772e+00 8.6687100e-01 -8.2125156e+00)	1.9961162e+05	2.9383665e+02	2.3612544e+00
0.092037       	(9.2132524e+00 8.6906058e-01 -8.3984606e+00)	1.9961050e+05	2.9383617e+02	2.3612449e+00
0.0920374      	(9.3475995e+00 8.5310743e-01 -8.5571852e+00)	1.9961357e+05	2.9383746e+02	2.3612708e+00
0.0920378      	(9.4515155e+00 8.1371135e-01 -8.6899657e+00)	1.9962140e+05	2.9384076e+02	2.3613370e+00
0.0920382      	(9.5089883e+00 7.4177559e-01 -8.7790488e+00)	1.9963431e+05	2.9384619e+02	2.3614461e+00
0.0920386      	(9.5194346e+00 6.1891766e-01 -8.8327459e+00)	1.9965206e+05	2.9385366e+02	2.3615961e+00
0.092039       	(9.4373731e+00 4.7628881e-01 -8.8428385e+00)	1.9967430e+05	2.9386303e+02	2.3617841e+00
