# Region type : patch inlet
# Faces  :     292
# Area   :     1.5721142e-05
# Time         	average(U)	average(p)	average(T)	average(rho)
3.36783e-05    	(4.1395954e+01 -1.1568972e-01 -3.5219793e+01)	1.0801970e+05	2.9224622e+02	1.2847297e+00
3.40834e-05    	(4.1603032e+01 -1.1683410e-01 -3.5395246e+01)	1.0800136e+05	2.9222927e+02	1.2845860e+00
3.44885e-05    	(4.1831258e+01 -1.1790544e-01 -3.5588781e+01)	1.0798059e+05	2.9221043e+02	1.2844215e+00
3.48935e-05    	(4.2080454e+01 -1.1884945e-01 -3.5800366e+01)	1.0795731e+05	2.9218964e+02	1.2842357e+00
3.52986e-05    	(4.2346806e+01 -1.1976617e-01 -3.6026770e+01)	1.0793186e+05	2.9216717e+02	1.2840315e+00
3.57037e-05    	(4.2621137e+01 -1.2081807e-01 -3.6260203e+01)	1.0790521e+05	2.9214376e+02	1.2838170e+00
3.61088e-05    	(4.2887180e+01 -1.2228560e-01 -3.6486744e+01)	1.0787914e+05	2.9212079e+02	1.2836073e+00
3.65139e-05    	(4.3121191e+01 -1.2507144e-01 -3.6685959e+01)	1.0785625e+05	2.9210028e+02	1.2834248e+00
3.6919e-05     	(4.3295984e+01 -1.2970917e-01 -3.6835035e+01)	1.0783961e+05	2.9208460e+02	1.2832952e+00
3.73241e-05    	(4.3390126e+01 -1.3435069e-01 -3.6915746e+01)	1.0783164e+05	2.9207565e+02	1.2832395e+00
3.77292e-05    	(4.3384865e+01 -1.3910659e-01 -3.6911731e+01)	1.0783460e+05	2.9207515e+02	1.2832766e+00
3.81343e-05    	(4.3270585e+01 -1.4334432e-01 -3.6814946e+01)	1.0784964e+05	2.9208402e+02	1.2834165e+00
3.85394e-05    	(4.3048182e+01 -1.4540215e-01 -3.6626147e+01)	1.0787680e+05	2.9210228e+02	1.2836595e+00
3.89445e-05    	(4.2731768e+01 -1.4575039e-01 -3.6356568e+01)	1.0791464e+05	2.9212881e+02	1.2839933e+00
3.93496e-05    	(4.2344511e+01 -1.4433117e-01 -3.6025927e+01)	1.0796057e+05	2.9216162e+02	1.2843960e+00
3.97547e-05    	(4.1912024e+01 -1.4083145e-01 -3.5656657e+01)	1.0801170e+05	2.9219846e+02	1.2848429e+00
4.01598e-05    	(4.1465010e+01 -1.3567611e-01 -3.5274988e+01)	1.0806455e+05	2.9223662e+02	1.2853044e+00
4.05649e-05    	(4.1035450e+01 -1.2951071e-01 -3.4908471e+01)	1.0811555e+05	2.9227335e+02	1.2857502e+00
4.097e-05      	(4.0651704e+01 -1.2278178e-01 -3.4581461e+01)	1.0816163e+05	2.9230626e+02	1.2861540e+00
4.13751e-05    	(4.0335981e+01 -1.1609948e-01 -3.4312665e+01)	1.0820040e+05	2.9233353e+02	1.2864959e+00
4.17802e-05    	(4.0106382e+01 -1.1059153e-01 -3.4117788e+01)	1.0822996e+05	2.9235365e+02	1.2867593e+00
4.21853e-05    	(3.9972941e+01 -1.0665339e-01 -3.4005512e+01)	1.0824920e+05	2.9236579e+02	1.2869351e+00
4.25904e-05    	(3.9931889e+01 -1.0423143e-01 -3.3972165e+01)	1.0825853e+05	2.9237027e+02	1.2870267e+00
4.29955e-05    	(3.9976404e+01 -1.0342550e-01 -3.4011014e+01)	1.0825870e+05	2.9236767e+02	1.2870403e+00
4.34006e-05    	(4.0101226e+01 -1.0378987e-01 -3.4117840e+01)	1.0825019e+05	2.9235835e+02	1.2869803e+00
4.38057e-05    	(4.0294056e+01 -1.0515100e-01 -3.4282347e+01)	1.0823422e+05	2.9234325e+02	1.2868567e+00
4.42108e-05    	(4.0538304e+01 -1.0763390e-01 -3.4490257e+01)	1.0821244e+05	2.9232366e+02	1.2866838e+00
4.46159e-05    	(4.0811739e+01 -1.1041601e-01 -3.4722275e+01)	1.0818715e+05	2.9230135e+02	1.2864810e+00
4.5021e-05     	(4.1088410e+01 -1.1302273e-01 -3.4956356e+01)	1.0816110e+05	2.9227845e+02	1.2862717e+00
4.54261e-05    	(4.1342986e+01 -1.1522825e-01 -3.5171002e+01)	1.0813707e+05	2.9225709e+02	1.2860795e+00
4.58312e-05    	(4.1555554e+01 -1.1703764e-01 -3.5349653e+01)	1.0811732e+05	2.9223905e+02	1.2859237e+00
4.62363e-05    	(4.1712901e+01 -1.1818790e-01 -3.5481140e+01)	1.0810341e+05	2.9222552e+02	1.2858176e+00
4.66415e-05    	(4.1808069e+01 -1.1839852e-01 -3.5559929e+01)	1.0809622e+05	2.9221718e+02	1.2857684e+00
4.70466e-05    	(4.1838429e+01 -1.1780726e-01 -3.5584010e+01)	1.0809613e+05	2.9221434e+02	1.2857798e+00
4.74517e-05    	(4.1803362e+01 -1.1642146e-01 -3.5553047e+01)	1.0810331e+05	2.9221713e+02	1.2858529e+00
4.78568e-05    	(4.1708472e+01 -1.1386465e-01 -3.5471967e+01)	1.0811716e+05	2.9222508e+02	1.2859828e+00
4.82619e-05    	(4.1566033e+01 -1.1091058e-01 -3.5351108e+01)	1.0813632e+05	2.9223714e+02	1.2861578e+00
4.8667e-05     	(4.1393028e+01 -1.0789727e-01 -3.5204753e+01)	1.0815890e+05	2.9225185e+02	1.2863618e+00
4.90721e-05    	(4.1209068e+01 -1.0524694e-01 -3.5049517e+01)	1.0818269e+05	2.9226749e+02	1.2865763e+00
4.94772e-05    	(4.1034378e+01 -1.0336369e-01 -3.4902355e+01)	1.0820550e+05	2.9228238e+02	1.2867823e+00
4.98823e-05    	(4.0888478e+01 -1.0246777e-01 -3.4779956e+01)	1.0822519e+05	2.9229485e+02	1.2869618e+00
5.02874e-05    	(4.0786108e+01 -1.0237672e-01 -3.4694691e+01)	1.0824017e+05	2.9230367e+02	1.2871013e+00
5.06925e-05    	(4.0738429e+01 -1.0319297e-01 -3.4655673e+01)	1.0824927e+05	2.9230796e+02	1.2871908e+00
5.10977e-05    	(4.0750882e+01 -1.0486676e-01 -3.4667306e+01)	1.0825192e+05	2.9230725e+02	1.2872255e+00
5.15028e-05    	(4.0826434e+01 -1.0725502e-01 -3.4732140e+01)	1.0824777e+05	2.9230129e+02	1.2872024e+00
5.19079e-05    	(4.0961164e+01 -1.1064819e-01 -3.4847007e+01)	1.0823720e+05	2.9229037e+02	1.2871247e+00
5.2313e-05     	(4.1147089e+01 -1.1521826e-01 -3.5005322e+01)	1.0822098e+05	2.9227508e+02	1.2869990e+00
5.27181e-05    	(4.1373866e+01 -1.2047028e-01 -3.5198346e+01)	1.0820017e+05	2.9225623e+02	1.2868342e+00
5.31232e-05    	(4.1628341e+01 -1.2577723e-01 -3.5414421e+01)	1.0817615e+05	2.9223490e+02	1.2866421e+00
5.35284e-05    	(4.1896349e+01 -1.3046136e-01 -3.5641535e+01)	1.0815044e+05	2.9221226e+02	1.2864356e+00
5.39335e-05    	(4.2162638e+01 -1.3424280e-01 -3.5866926e+01)	1.0812466e+05	2.9218957e+02	1.2862285e+00
5.43386e-05    	(4.2414502e+01 -1.3674588e-01 -3.6079858e+01)	1.0810021e+05	2.9216790e+02	1.2860328e+00
5.47437e-05    	(4.2642807e+01 -1.3779026e-01 -3.6272388e+01)	1.0807818e+05	2.9214809e+02	1.2858575e+00
5.51488e-05    	(4.2841378e+01 -1.3747616e-01 -3.6439248e+01)	1.0805932e+05	2.9213072e+02	1.2857091e+00
5.55539e-05    	(4.3006887e+01 -1.3608165e-01 -3.6578029e+01)	1.0804404e+05	2.9211613e+02	1.2855912e+00
5.59591e-05    	(4.3139995e+01 -1.3374729e-01 -3.6689367e+01)	1.0803236e+05	2.9210432e+02	1.2855039e+00
5.63642e-05    	(4.3242450e+01 -1.3060131e-01 -3.6774788e+01)	1.0802415e+05	2.9209520e+02	1.2854462e+00
5.67693e-05    	(4.3316156e+01 -1.2673984e-01 -3.6835941e+01)	1.0801923e+05	2.9208863e+02	1.2854164e+00
5.71744e-05    	(4.3363847e+01 -1.2248987e-01 -3.6875429e+01)	1.0801732e+05	2.9208439e+02	1.2854122e+00
5.75795e-05    	(4.3388316e+01 -1.1807184e-01 -3.6896007e+01)	1.0801809e+05	2.9208223e+02	1.2854309e+00
5.79846e-05    	(4.3392364e+01 -1.1403856e-01 -3.6899532e+01)	1.0802129e+05	2.9208195e+02	1.2854702e+00
5.83898e-05    	(4.3378021e+01 -1.1100818e-01 -3.6887653e+01)	1.0802670e+05	2.9208338e+02	1.2855284e+00
5.87949e-05    	(4.3348867e+01 -1.0901337e-01 -3.6863624e+01)	1.0803387e+05	2.9208618e+02	1.2856015e+00
5.92e-05       	(4.3309143e+01 -1.0788050e-01 -3.6831048e+01)	1.0804230e+05	2.9208995e+02	1.2856853e+00
