# Field minima and maxima
# Time         	field          	min            	location(min)  	processor      	max            	location(max)  	processor      
2.14831e-06    	T              	2.9398939e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9401967e+02	(-1.2029981e-02 2.3313412e-02 4.7453765e-03)	11
2.18587e-06    	T              	2.9398912e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9402014e+02	(-1.2029981e-02 2.3313412e-02 4.7453765e-03)	11
2.22343e-06    	T              	2.9398885e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9402061e+02	(-1.2029981e-02 2.3313412e-02 4.7453765e-03)	11
2.261e-06      	T              	2.9398857e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9402107e+02	(-1.2029981e-02 2.3313412e-02 4.7453765e-03)	11
2.29856e-06    	T              	2.9398829e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9402152e+02	(-1.2029981e-02 2.3313412e-02 4.7453765e-03)	11
2.33612e-06    	T              	2.9398801e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9402200e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
2.37369e-06    	T              	2.9398773e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9402252e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
2.41125e-06    	T              	2.9398745e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9402304e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
2.44881e-06    	T              	2.9398717e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9402356e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
2.48637e-06    	T              	2.9398689e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9402407e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
2.52394e-06    	T              	2.9398660e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9402458e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
2.5615e-06     	T              	2.9398632e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9402508e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
2.59906e-06    	T              	2.9398603e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9402559e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
2.63663e-06    	T              	2.9398575e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9402608e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
2.67419e-06    	T              	2.9398546e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9402658e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
2.71175e-06    	T              	2.9398517e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9402707e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
2.74932e-06    	T              	2.9398488e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9402756e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
2.78688e-06    	T              	2.9398459e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9402805e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
2.82444e-06    	T              	2.9398430e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9402853e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
2.86201e-06    	T              	2.9398401e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9402901e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
2.89957e-06    	T              	2.9398372e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9402949e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
2.93713e-06    	T              	2.9398343e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9402996e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
2.97469e-06    	T              	2.9398313e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9403044e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
3.01226e-06    	T              	2.9398284e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9403091e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
3.04982e-06    	T              	2.9398254e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9403138e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
3.08738e-06    	T              	2.9398225e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9403184e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
3.12495e-06    	T              	2.9398195e+02	(7.8847983e-03 1.2382070e-02 1.0307137e-02)	10	2.9403231e+02	(-1.0843538e-02 2.0786351e-02 7.0761401e-03)	11
