# Region type : patch inlet
# Faces  :     286
# Area   :     1.5738454e-05
# Time         	average(U)	average(p)	average(T)	average(rho)
5.83715e-05    	(4.1272072e+01 1.1717479e-02 -3.5226894e+01)	1.0825527e+05	2.9226046e+02	1.2874723e+00
5.87765e-05    	(4.1338591e+01 1.1664873e-02 -3.5284533e+01)	1.0825162e+05	2.9225489e+02	1.2874534e+00
5.91815e-05    	(4.1406631e+01 1.1468735e-02 -3.5343414e+01)	1.0824779e+05	2.9224917e+02	1.2874330e+00
5.95865e-05    	(4.1476845e+01 1.1138000e-02 -3.5404040e+01)	1.0824370e+05	2.9224326e+02	1.2874103e+00
5.99914e-05    	(4.1549654e+01 1.0695335e-02 -3.5466731e+01)	1.0823930e+05	2.9223710e+02	1.2873851e+00
6.03964e-05    	(4.1625151e+01 1.0160907e-02 -3.5531527e+01)	1.0823459e+05	2.9223071e+02	1.2873572e+00
6.08014e-05    	(4.1703121e+01 9.5489319e-03 -3.5598235e+01)	1.0822959e+05	2.9222408e+02	1.2873267e+00
6.12064e-05    	(4.1783207e+01 8.8660079e-03 -3.5666555e+01)	1.0822433e+05	2.9221726e+02	1.2872941e+00
6.16114e-05    	(4.1864850e+01 8.1214728e-03 -3.5736000e+01)	1.0821888e+05	2.9221029e+02	1.2872599e+00
6.20164e-05    	(4.1947203e+01 7.3189023e-03 -3.5805847e+01)	1.0821333e+05	2.9220325e+02	1.2872248e+00
6.24214e-05    	(4.2029222e+01 6.4744308e-03 -3.5875220e+01)	1.0820781e+05	2.9219623e+02	1.2871900e+00
6.28263e-05    	(4.2109723e+01 5.5968554e-03 -3.5943149e+01)	1.0820245e+05	2.9218932e+02	1.2871565e+00
6.32313e-05    	(4.2187306e+01 4.6178886e-03 -3.6008358e+01)	1.0819740e+05	2.9218266e+02	1.2871256e+00
6.36363e-05    	(4.2261107e+01 3.6678215e-03 -3.6070308e+01)	1.0819276e+05	2.9217632e+02	1.2870983e+00
6.40413e-05    	(4.2329358e+01 2.6672586e-03 -3.6127692e+01)	1.0818872e+05	2.9217044e+02	1.2870760e+00
6.44463e-05    	(4.2390993e+01 1.6681434e-03 -3.6179636e+01)	1.0818539e+05	2.9216511e+02	1.2870599e+00
6.48513e-05    	(4.2445396e+01 7.1888454e-04 -3.6225582e+01)	1.0818287e+05	2.9216041e+02	1.2870505e+00
6.52563e-05    	(4.2492131e+01 -1.2673608e-04 -3.6265130e+01)	1.0818122e+05	2.9215638e+02	1.2870486e+00
6.56613e-05    	(4.2530469e+01 -8.9183861e-04 -3.6297722e+01)	1.0818052e+05	2.9215308e+02	1.2870547e+00
6.60663e-05    	(4.2559381e+01 -1.5792894e-03 -3.6322560e+01)	1.0818087e+05	2.9215059e+02	1.2870698e+00
6.64713e-05    	(4.2578412e+01 -2.1365848e-03 -3.6339229e+01)	1.0818231e+05	2.9214895e+02	1.2870942e+00
6.68763e-05    	(4.2587311e+01 -2.5600931e-03 -3.6347476e+01)	1.0818490e+05	2.9214819e+02	1.2871283e+00
6.72813e-05    	(4.2585830e+01 -2.8715768e-03 -3.6347029e+01)	1.0818865e+05	2.9214834e+02	1.2871723e+00
