# Residuals    
# Time         	p              	Ux             	Uy             	Uz             	e              	k              	T              
0              	N/A	N/A	N/A	N/A	N/A
2.6463e-06     	N/A	8.0741429e-05	8.4172985e-04	8.2296812e-05	5.6844429e-04	1.0990760e-03	N/A
2.68302e-06    	N/A	8.1034436e-05	8.3089218e-04	8.2638644e-05	3.9057121e-04	1.0833027e-03	N/A
2.71975e-06    	N/A	8.1803174e-05	8.0898771e-04	8.3393330e-05	6.8425823e-04	1.0681740e-03	N/A
2.75647e-06    	N/A	8.4493945e-05	9.7318331e-04	8.6550153e-05	8.9538903e-04	1.0536002e-03	N/A
2.7932e-06     	N/A	8.7571517e-05	1.1694773e-03	8.9422032e-05	8.9706343e-04	1.0391165e-03	N/A
2.82992e-06    	N/A	8.9444073e-05	1.3254715e-03	9.2142714e-05	7.6108762e-04	1.0251308e-03	N/A
2.86664e-06    	N/A	9.0760201e-05	1.3246999e-03	9.3346690e-05	1.1025174e-03	1.0117840e-03	N/A
2.90337e-06    	N/A	9.2514574e-05	1.3269706e-03	9.5120889e-05	1.5300127e-03	9.9846281e-04	N/A
2.94009e-06    	N/A	9.5097269e-05	1.5035878e-03	9.7743219e-05	1.4240711e-03	9.8563662e-04	N/A
2.97682e-06    	N/A	9.8274315e-05	1.6749492e-03	1.0088364e-04	1.4556823e-03	9.7331616e-04	N/A
3.01354e-06    	N/A	1.0172502e-04	1.8190968e-03	1.0562413e-04	1.4270636e-03	9.6098350e-04	N/A
3.05027e-06    	N/A	1.0349925e-04	1.9325712e-03	1.0771576e-04	1.3672265e-03	9.4908398e-04	N/A
3.08699e-06    	N/A	1.0370758e-04	1.9700486e-03	1.0827455e-04	1.6296710e-03	9.3766883e-04	N/A
3.12371e-06    	N/A	1.0480915e-04	2.0394716e-03	1.0904567e-04	1.7009300e-03	9.2653214e-04	N/A
3.16044e-06    	N/A	1.0584742e-04	2.1329978e-03	1.1069800e-04	1.9525066e-03	9.1539506e-04	N/A
3.19716e-06    	N/A	1.0628341e-04	2.3148918e-03	1.1058733e-04	1.8386447e-03	9.0452301e-04	N/A
3.23389e-06    	N/A	1.0443340e-04	2.4776486e-03	1.0796171e-04	1.6808600e-03	8.9393869e-04	N/A
3.27061e-06    	N/A	1.0208857e-04	2.5083748e-03	1.0490528e-04	1.3278911e-03	8.8368799e-04	N/A
3.30733e-06    	N/A	1.0012399e-04	2.3868158e-03	1.0247381e-04	1.1684321e-03	8.7375515e-04	N/A
3.34406e-06    	N/A	9.8187060e-05	2.1836144e-03	1.0022839e-04	1.0168244e-03	8.6393038e-04	N/A
3.38078e-06    	N/A	9.6962013e-05	1.9848816e-03	9.8800302e-05	8.6885875e-04	8.5456651e-04	N/A
