# Region type : patch inlet
# Faces  :     778
# Area   :     6.2874094e-05
# Time         	average(U)	average(p)	average(T)	average(rho)
0.0880317      	(3.8793922e+00 -3.5327773e-01 -3.1263993e+00)	1.9978481e+05	2.9390951e+02	2.3627179e+00
0.0880321      	(3.6645833e+00 -4.1558564e-01 -2.9372656e+00)	1.9977698e+05	2.9390621e+02	2.3626517e+00
0.0880325      	(3.4675744e+00 -4.8746723e-01 -2.7484539e+00)	1.9977169e+05	2.9390398e+02	2.3626069e+00
0.0880329      	(3.2627842e+00 -5.1865563e-01 -2.5700639e+00)	1.9976939e+05	2.9390301e+02	2.3625875e+00
0.0880332      	(3.0522021e+00 -5.2892744e-01 -2.4010976e+00)	1.9977054e+05	2.9390348e+02	2.3625971e+00
0.0880336      	(2.8413840e+00 -5.5532634e-01 -2.2334795e+00)	1.9977534e+05	2.9390550e+02	2.3626377e+00
0.088034       	(2.6170123e+00 -5.4333226e-01 -2.0775242e+00)	1.9978379e+05	2.9390906e+02	2.3627091e+00
0.0880344      	(2.3948392e+00 -5.2689396e-01 -1.9261575e+00)	1.9979584e+05	2.9391413e+02	2.3628109e+00
0.0880348      	(2.2023720e+00 -5.1269021e-01 -1.7921638e+00)	1.9981075e+05	2.9392040e+02	2.3629370e+00
0.0880352      	(2.0449517e+00 -4.8644675e-01 -1.6903345e+00)	1.9982779e+05	2.9392757e+02	2.3630810e+00
0.0880355      	(1.9075819e+00 -4.5852310e-01 -1.6219627e+00)	1.9984676e+05	2.9393556e+02	2.3632413e+00
0.0880359      	(1.8152057e+00 -4.1608749e-01 -1.5776590e+00)	1.9986724e+05	2.9394418e+02	2.3634144e+00
0.0880363      	(1.7680227e+00 -4.0550012e-01 -1.5852067e+00)	1.9988812e+05	2.9395297e+02	2.3635909e+00
0.0880367      	(1.7891789e+00 -3.8346825e-01 -1.6428609e+00)	1.9990834e+05	2.9396147e+02	2.3637617e+00
0.0880371      	(1.8891972e+00 -3.4907383e-01 -1.7485176e+00)	1.9992676e+05	2.9396922e+02	2.3639174e+00
0.0880374      	(2.0911496e+00 -2.2467822e-01 -1.8830212e+00)	1.9994185e+05	2.9397557e+02	2.3640448e+00
0.0880378      	(2.4001818e+00 -1.0623059e-01 -2.0337089e+00)	1.9995209e+05	2.9397987e+02	2.3641314e+00
0.0880382      	(2.7459013e+00 -1.2351958e-02 -2.2799291e+00)	1.9995567e+05	2.9398138e+02	2.3641616e+00
0.0880386      	(3.2081676e+00 -2.1620024e-02 -2.5718441e+00)	1.9995183e+05	2.9397977e+02	2.3641292e+00
0.088039       	(3.7061390e+00 -8.1033784e-02 -2.9047761e+00)	1.9994105e+05	2.9397524e+02	2.3640381e+00
0.0880393      	(4.1949175e+00 -5.4544051e-02 -3.2769909e+00)	1.9992433e+05	2.9396821e+02	2.3638969e+00
0.0880397      	(4.6941774e+00 1.6383517e-02 -3.6907080e+00)	1.9990294e+05	2.9395922e+02	2.3637162e+00
0.0880401      	(5.1997358e+00 8.7285172e-02 -4.1087913e+00)	1.9987801e+05	2.9394874e+02	2.3635057e+00
0.0880405      	(5.6860093e+00 1.6962961e-01 -4.5338373e+00)	1.9985062e+05	2.9393723e+02	2.3632743e+00
0.0880409      	(6.1618499e+00 2.4432689e-01 -4.9554037e+00)	1.9982180e+05	2.9392511e+02	2.3630308e+00
0.0880412      	(6.6133848e+00 3.1475271e-01 -5.3781302e+00)	1.9979256e+05	2.9391281e+02	2.3627837e+00
0.0880416      	(7.0382304e+00 3.7955385e-01 -5.7906224e+00)	1.9976383e+05	2.9390073e+02	2.3625410e+00
0.088042       	(7.4486036e+00 4.4301787e-01 -6.1788061e+00)	1.9973649e+05	2.9388922e+02	2.3623099e+00
0.0880424      	(7.8391465e+00 4.9980203e-01 -6.5491797e+00)	1.9971106e+05	2.9387852e+02	2.3620950e+00
0.0880428      	(8.2049007e+00 5.4793778e-01 -6.9102616e+00)	1.9968788e+05	2.9386877e+02	2.3618991e+00
0.0880431      	(8.5485077e+00 5.8885452e-01 -7.2491775e+00)	1.9966718e+05	2.9386005e+02	2.3617241e+00
0.0880435      	(8.8728507e+00 6.1838331e-01 -7.5768192e+00)	1.9964892e+05	2.9385236e+02	2.3615697e+00
0.0880439      	(9.1759422e+00 6.4132983e-01 -7.8911073e+00)	1.9963303e+05	2.9384568e+02	2.3614355e+00
0.0880443      	(9.4569027e+00 6.5921110e-01 -8.1862766e+00)	1.9961961e+05	2.9384002e+02	2.3613220e+00
0.0880447      	(9.7050953e+00 6.6798496e-01 -8.4582201e+00)	1.9960925e+05	2.9383566e+02	2.3612344e+00
0.0880451      	(9.9220407e+00 6.6656317e-01 -8.7030440e+00)	1.9960204e+05	2.9383262e+02	2.3611734e+00
0.0880454      	(1.0105523e+01 6.6056083e-01 -8.9339412e+00)	1.9959796e+05	2.9383090e+02	2.3611389e+00
0.0880458      	(1.0249625e+01 6.3396801e-01 -9.1274366e+00)	1.9959737e+05	2.9383065e+02	2.3611339e+00
0.0880462      	(1.0348041e+01 5.9796889e-01 -9.2729144e+00)	1.9960074e+05	2.9383207e+02	2.3611624e+00
0.0880466      	(1.0383439e+01 5.3536168e-01 -9.3718478e+00)	1.9960881e+05	2.9383546e+02	2.3612306e+00
0.088047       	(1.0335572e+01 4.4287870e-01 -9.4289088e+00)	1.9962192e+05	2.9384098e+02	2.3613414e+00
0.0880473      	(1.0214305e+01 3.3132856e-01 -9.4088860e+00)	1.9963996e+05	2.9384858e+02	2.3614939e+00
0.0880477      	(1.0019265e+01 2.5665450e-01 -9.3065541e+00)	1.9966283e+05	2.9385821e+02	2.3616872e+00
0.0880481      	(9.7311150e+00 2.2566934e-01 -9.1436003e+00)	1.9968953e+05	2.9386944e+02	2.3619129e+00
0.0880485      	(9.3758921e+00 1.9178093e-01 -8.9127611e+00)	1.9971776e+05	2.9388133e+02	2.3621515e+00
0.0880489      	(8.9625080e+00 1.6387018e-01 -8.6277876e+00)	1.9974543e+05	2.9389297e+02	2.3623854e+00
0.0880492      	(8.5067433e+00 1.2526672e-01 -8.2998765e+00)	1.9977081e+05	2.9390365e+02	2.3625999e+00
0.0880496      	(8.0119413e+00 1.0728286e-01 -7.9911469e+00)	1.9979217e+05	2.9391264e+02	2.3627804e+00
0.08805        	(7.4924634e+00 7.9705108e-02 -7.6136157e+00)	1.9980879e+05	2.9391964e+02	2.3629209e+00
0.0880504      	(6.9473037e+00 3.5017637e-02 -7.2070484e+00)	1.9982119e+05	2.9392486e+02	2.3630257e+00
0.0880508      	(6.4868285e+00 2.3574985e-02 -6.7157332e+00)	1.9983011e+05	2.9392861e+02	2.3631010e+00
0.0880511      	(6.0900367e+00 2.0757705e-02 -6.2404246e+00)	1.9983517e+05	2.9393074e+02	2.3631438e+00
0.0880515      	(5.7595268e+00 1.4207735e-03 -5.7846146e+00)	1.9983614e+05	2.9393114e+02	2.3631520e+00
0.0880519      	(5.5147091e+00 -1.3896123e-02 -5.3749174e+00)	1.9983303e+05	2.9392983e+02	2.3631256e+00
0.0880523      	(5.2943987e+00 -3.1286655e-02 -5.0136877e+00)	1.9982632e+05	2.9392701e+02	2.3630690e+00
0.0880527      	(5.1245531e+00 -4.8357016e-02 -4.6935940e+00)	1.9981698e+05	2.9392307e+02	2.3629900e+00
0.088053       	(4.9741649e+00 -7.5699331e-02 -4.4155449e+00)	1.9980601e+05	2.9391845e+02	2.3628973e+00
0.0880534      	(4.8385396e+00 -1.0441571e-01 -4.1871903e+00)	1.9979421e+05	2.9391348e+02	2.3627975e+00
0.0880538      	(4.7338784e+00 -1.4214577e-01 -3.9772930e+00)	1.9978225e+05	2.9390844e+02	2.3626963e+00
0.0880542      	(4.6265623e+00 -1.9368233e-01 -3.7861197e+00)	1.9977099e+05	2.9390370e+02	2.3626012e+00
0.0880546      	(4.5116049e+00 -2.4313221e-01 -3.6113175e+00)	1.9976120e+05	2.9389958e+02	2.3625184e+00
0.088055       	(4.3741076e+00 -2.9063852e-01 -3.4637776e+00)	1.9975340e+05	2.9389628e+02	2.3624524e+00
0.0880553      	(4.2164250e+00 -3.1393016e-01 -3.3166475e+00)	1.9974862e+05	2.9389427e+02	2.3624120e+00
0.0880557      	(4.0511161e+00 -3.5062547e-01 -3.1612446e+00)	1.9974743e+05	2.9389376e+02	2.3624019e+00
0.0880561      	(3.8521477e+00 -3.5763055e-01 -3.0108377e+00)	1.9975043e+05	2.9389502e+02	2.3624271e+00
