# Region type : patch inlet
# Faces  :     778
# Area   :     6.2874094e-05
# Time         	average(U)	average(p)	average(T)	average(rho)
2.91631e-05    	(3.6581463e+01 -2.8912556e-02 -3.1237394e+01)	1.0852440e+05	2.9276769e+02	1.2884472e+00
2.95972e-05    	(3.6964089e+01 -3.0369423e-02 -3.1564070e+01)	1.0849254e+05	2.9274162e+02	1.2881834e+00
3.00313e-05    	(3.7342567e+01 -3.1922340e-02 -3.1887475e+01)	1.0846068e+05	2.9271556e+02	1.2879197e+00
3.04655e-05    	(3.7715658e+01 -3.3576681e-02 -3.2206367e+01)	1.0842897e+05	2.9268961e+02	1.2876572e+00
3.08996e-05    	(3.8082022e+01 -3.5283870e-02 -3.2519491e+01)	1.0839755e+05	2.9266387e+02	1.2873971e+00
3.13337e-05    	(3.8440776e+01 -3.7042625e-02 -3.2826050e+01)	1.0836651e+05	2.9263843e+02	1.2871403e+00
3.17678e-05    	(3.8791865e+01 -3.8805050e-02 -3.3125883e+01)	1.0833590e+05	2.9261331e+02	1.2868870e+00
3.2202e-05     	(3.9136217e+01 -4.0572462e-02 -3.3419686e+01)	1.0830566e+05	2.9258846e+02	1.2866368e+00
3.26361e-05    	(3.9476843e+01 -4.2338348e-02 -3.3709874e+01)	1.0827552e+05	2.9256370e+02	1.2863875e+00
3.30702e-05    	(3.9818568e+01 -4.4113716e-02 -3.4000563e+01)	1.0824507e+05	2.9253869e+02	1.2861355e+00
3.35043e-05    	(4.0168006e+01 -4.5852968e-02 -3.4297281e+01)	1.0821367e+05	2.9251294e+02	1.2858755e+00
3.39385e-05    	(4.0532351e+01 -4.7538829e-02 -3.4606194e+01)	1.0818062e+05	2.9248591e+02	1.2856014e+00
3.43726e-05    	(4.0916879e+01 -4.9201197e-02 -3.4932138e+01)	1.0814533e+05	2.9245715e+02	1.2853082e+00
3.48067e-05    	(4.1323180e+01 -5.0863215e-02 -3.5276910e+01)	1.0810755e+05	2.9242646e+02	1.2849940e+00
3.52409e-05    	(4.1745124e+01 -5.2490469e-02 -3.5635945e+01)	1.0806777e+05	2.9239420e+02	1.2846625e+00
3.5675e-05     	(4.2157686e+01 -5.4128364e-02 -3.5988937e+01)	1.0802828e+05	2.9236217e+02	1.2843337e+00
3.61091e-05    	(4.2492434e+01 -5.5970164e-02 -3.6278132e+01)	1.0799571e+05	2.9233546e+02	1.2840634e+00
3.65432e-05    	(4.2688022e+01 -5.7629928e-02 -3.6450711e+01)	1.0797651e+05	2.9231911e+02	1.2839067e+00
3.69774e-05    	(4.2688784e+01 -5.9175131e-02 -3.6458191e+01)	1.0797636e+05	2.9231748e+02	1.2839119e+00
3.74115e-05    	(4.2454791e+01 -6.1147026e-02 -3.6264869e+01)	1.0799925e+05	2.9233367e+02	1.2841126e+00
3.78456e-05    	(4.1974988e+01 -6.3571380e-02 -3.5860876e+01)	1.0804611e+05	2.9236840e+02	1.2845170e+00
3.82797e-05    	(4.1270003e+01 -6.6015026e-02 -3.5262124e+01)	1.0811471e+05	2.9241993e+02	1.2851059e+00
3.87139e-05    	(4.0393259e+01 -6.8684381e-02 -3.4514122e+01)	1.0819945e+05	2.9248393e+02	1.2858319e+00
3.9148e-05     	(3.9420787e+01 -7.1114766e-02 -3.3681736e+01)	1.0829256e+05	2.9255436e+02	1.2866288e+00
3.95821e-05    	(3.8446661e+01 -7.2910355e-02 -3.2843387e+01)	1.0838512e+05	2.9262435e+02	1.2874209e+00
4.00162e-05    	(3.7579138e+01 -7.4055314e-02 -3.2094788e+01)	1.0846755e+05	2.9268649e+02	1.2881270e+00
4.04504e-05    	(3.6897596e+01 -7.4846043e-02 -3.1505465e+01)	1.0853298e+05	2.9273550e+02	1.2886887e+00
4.08845e-05    	(3.6450607e+01 -7.5694923e-02 -3.1117115e+01)	1.0857735e+05	2.9276827e+02	1.2890718e+00
4.13186e-05    	(3.6277107e+01 -7.6688621e-02 -3.0964013e+01)	1.0859754e+05	2.9278238e+02	1.2892498e+00
