# Region type : patch inlet
# Faces  :     292
# Area   :     1.5721138e-05
# Time         	average(U)	average(p)	average(T)	average(rho)
3.46617e-05    	(4.0104910e+01 -8.9238610e-02 -3.4149442e+01)	1.0817333e+05	2.9235860e+02	1.2860658e+00
3.49689e-05    	(4.0197928e+01 -9.0153866e-02 -3.4229222e+01)	1.0816619e+05	2.9235098e+02	1.2860143e+00
3.52759e-05    	(4.0277965e+01 -9.1045165e-02 -3.4297963e+01)	1.0816037e+05	2.9234438e+02	1.2859740e+00
3.55828e-05    	(4.0343402e+01 -9.1907334e-02 -3.4354271e+01)	1.0815604e+05	2.9233894e+02	1.2859464e+00
3.58896e-05    	(4.0393248e+01 -9.2745909e-02 -3.4397212e+01)	1.0815335e+05	2.9233476e+02	1.2859327e+00
3.61963e-05    	(4.0426773e+01 -9.3582985e-02 -3.4426177e+01)	1.0815236e+05	2.9233190e+02	1.2859335e+00
3.6503e-05     	(4.0443160e+01 -9.4431212e-02 -3.4440544e+01)	1.0815319e+05	2.9233045e+02	1.2859497e+00
3.68097e-05    	(4.0442033e+01 -9.5273797e-02 -3.4440051e+01)	1.0815589e+05	2.9233044e+02	1.2859818e+00
3.71163e-05    	(4.0424018e+01 -9.6088238e-02 -3.4425225e+01)	1.0816040e+05	2.9233183e+02	1.2860293e+00
3.7423e-05     	(4.0389954e+01 -9.6729822e-02 -3.4396714e+01)	1.0816663e+05	2.9233456e+02	1.2860914e+00
3.77297e-05    	(4.0340891e+01 -9.7119959e-02 -3.4355314e+01)	1.0817450e+05	2.9233855e+02	1.2861674e+00
3.80364e-05    	(4.0278305e+01 -9.7312553e-02 -3.4302322e+01)	1.0818383e+05	2.9234368e+02	1.2862560e+00
3.83432e-05    	(4.0204307e+01 -9.7323958e-02 -3.4239541e+01)	1.0819442e+05	2.9234977e+02	1.2863551e+00
3.865e-05      	(4.0121371e+01 -9.7144030e-02 -3.4169055e+01)	1.0820598e+05	2.9235662e+02	1.2864626e+00
3.89569e-05    	(4.0031616e+01 -9.6720094e-02 -3.4092705e+01)	1.0821830e+05	2.9236405e+02	1.2865764e+00
3.92639e-05    	(3.9937120e+01 -9.6030745e-02 -3.4012297e+01)	1.0823113e+05	2.9237188e+02	1.2866947e+00
3.9571e-05     	(3.9839962e+01 -9.5070839e-02 -3.3929615e+01)	1.0824426e+05	2.9237994e+02	1.2868154e+00
3.98783e-05    	(3.9742393e+01 -9.3920452e-02 -3.3846578e+01)	1.0825743e+05	2.9238803e+02	1.2869366e+00
4.01856e-05    	(3.9646535e+01 -9.2634840e-02 -3.3764984e+01)	1.0827042e+05	2.9239598e+02	1.2870562e+00
4.04931e-05    	(3.9554076e+01 -9.1282679e-02 -3.3686285e+01)	1.0828305e+05	2.9240365e+02	1.2871728e+00
4.08006e-05    	(3.9466510e+01 -8.9907449e-02 -3.3611745e+01)	1.0829516e+05	2.9241091e+02	1.2872849e+00
4.11083e-05    	(3.9384966e+01 -8.8531014e-02 -3.3542241e+01)	1.0830663e+05	2.9241768e+02	1.2873915e+00
4.1416e-05     	(3.9310430e+01 -8.7198184e-02 -3.3478608e+01)	1.0831736e+05	2.9242387e+02	1.2874919e+00
4.17238e-05    	(3.9243642e+01 -8.5917188e-02 -3.3421513e+01)	1.0832727e+05	2.9242943e+02	1.2875853e+00
4.20317e-05    	(3.9185156e+01 -8.4767057e-02 -3.3371410e+01)	1.0833630e+05	2.9243432e+02	1.2876713e+00
4.23396e-05    	(3.9135082e+01 -8.3731277e-02 -3.3328394e+01)	1.0834445e+05	2.9243852e+02	1.2877498e+00
4.26476e-05    	(3.9093292e+01 -8.2802955e-02 -3.3292373e+01)	1.0835173e+05	2.9244204e+02	1.2878209e+00
4.29556e-05    	(3.9059386e+01 -8.1983737e-02 -3.3263039e+01)	1.0835818e+05	2.9244493e+02	1.2878850e+00
4.32637e-05    	(3.9032851e+01 -8.1311559e-02 -3.3239979e+01)	1.0836386e+05	2.9244722e+02	1.2879424e+00
4.35718e-05    	(3.9012938e+01 -8.0759832e-02 -3.3222540e+01)	1.0836884e+05	2.9244897e+02	1.2879940e+00
4.38799e-05    	(3.8998783e+01 -8.0293871e-02 -3.3210012e+01)	1.0837322e+05	2.9245025e+02	1.2880404e+00
4.41879e-05    	(3.8989630e+01 -7.9916278e-02 -3.3201783e+01)	1.0837708e+05	2.9245112e+02	1.2880824e+00
4.4496e-05     	(3.8984782e+01 -7.9640040e-02 -3.3197287e+01)	1.0838048e+05	2.9245165e+02	1.2881206e+00
4.48041e-05    	(3.8983628e+01 -7.9474918e-02 -3.3196007e+01)	1.0838349e+05	2.9245188e+02	1.2881554e+00
4.51121e-05    	(3.8985691e+01 -7.9395899e-02 -3.3197538e+01)	1.0838617e+05	2.9245185e+02	1.2881874e+00
4.54201e-05    	(3.8990578e+01 -7.9365151e-02 -3.3201561e+01)	1.0838856e+05	2.9245160e+02	1.2882170e+00
4.57281e-05    	(3.8998002e+01 -7.9362841e-02 -3.3207836e+01)	1.0839069e+05	2.9245115e+02	1.2882443e+00
4.60361e-05    	(3.9007798e+01 -7.9390826e-02 -3.3216208e+01)	1.0839258e+05	2.9245050e+02	1.2882695e+00
4.6344e-05     	(3.9019920e+01 -7.9457468e-02 -3.3226614e+01)	1.0839423e+05	2.9244968e+02	1.2882928e+00
4.66519e-05    	(3.9034405e+01 -7.9558850e-02 -3.3239063e+01)	1.0839564e+05	2.9244867e+02	1.2883140e+00
4.69597e-05    	(3.9051438e+01 -7.9703009e-02 -3.3253722e+01)	1.0839679e+05	2.9244747e+02	1.2883331e+00
4.72674e-05    	(3.9071261e+01 -7.9901799e-02 -3.3270829e+01)	1.0839766e+05	2.9244605e+02	1.2883497e+00
4.75751e-05    	(3.9094092e+01 -8.0150180e-02 -3.3290564e+01)	1.0839822e+05	2.9244438e+02	1.2883637e+00
4.78828e-05    	(3.9120128e+01 -8.0420054e-02 -3.3313072e+01)	1.0839845e+05	2.9244246e+02	1.2883748e+00
4.81903e-05    	(3.9149572e+01 -8.0698428e-02 -3.3338515e+01)	1.0839832e+05	2.9244027e+02	1.2883830e+00
4.84978e-05    	(3.9182740e+01 -8.0982204e-02 -3.3367140e+01)	1.0839779e+05	2.9243777e+02	1.2883878e+00
4.88053e-05    	(3.9219898e+01 -8.1273553e-02 -3.3399170e+01)	1.0839685e+05	2.9243495e+02	1.2883889e+00
4.91126e-05    	(3.9261250e+01 -8.1603626e-02 -3.3434734e+01)	1.0839546e+05	2.9243179e+02	1.2883864e+00
4.94199e-05    	(3.9307007e+01 -8.1977932e-02 -3.3473977e+01)	1.0839360e+05	2.9242826e+02	1.2883798e+00
4.9727e-05     	(3.9357190e+01 -8.2368946e-02 -3.3516925e+01)	1.0839126e+05	2.9242436e+02	1.2883691e+00
5.00341e-05    	(3.9411610e+01 -8.2747305e-02 -3.3563463e+01)	1.0838847e+05	2.9242011e+02	1.2883546e+00
5.03411e-05    	(3.9469996e+01 -8.3120377e-02 -3.3613383e+01)	1.0838524e+05	2.9241553e+02	1.2883364e+00
5.0648e-05     	(3.9532112e+01 -8.3483205e-02 -3.3666461e+01)	1.0838159e+05	2.9241063e+02	1.2883146e+00
5.09548e-05    	(3.9597658e+01 -8.3834158e-02 -3.3722409e+01)	1.0837757e+05	2.9240543e+02	1.2882896e+00
5.12615e-05    	(3.9666246e+01 -8.4175004e-02 -3.3780870e+01)	1.0837321e+05	2.9239997e+02	1.2882617e+00
5.15681e-05    	(3.9737462e+01 -8.4505237e-02 -3.3841476e+01)	1.0836855e+05	2.9239429e+02	1.2882313e+00
5.18746e-05    	(3.9810870e+01 -8.4826280e-02 -3.3903837e+01)	1.0836364e+05	2.9238841e+02	1.2881988e+00
5.2181e-05     	(3.9885947e+01 -8.5134122e-02 -3.3967488e+01)	1.0835854e+05	2.9238238e+02	1.2881646e+00
5.24874e-05    	(3.9962084e+01 -8.5420154e-02 -3.4031905e+01)	1.0835331e+05	2.9237626e+02	1.2881294e+00
5.27936e-05    	(4.0038677e+01 -8.5673105e-02 -3.4096575e+01)	1.0834801e+05	2.9237008e+02	1.2880936e+00
5.30998e-05    	(4.0115122e+01 -8.5884889e-02 -3.4160995e+01)	1.0834271e+05	2.9236391e+02	1.2880577e+00
5.34059e-05    	(4.0190831e+01 -8.6054692e-02 -3.4224686e+01)	1.0833748e+05	2.9235778e+02	1.2880224e+00
5.37119e-05    	(4.0265284e+01 -8.6186496e-02 -3.4287242e+01)	1.0833237e+05	2.9235175e+02	1.2879881e+00
5.40178e-05    	(4.0338049e+01 -8.6285921e-02 -3.4348322e+01)	1.0832742e+05	2.9234584e+02	1.2879552e+00
5.43236e-05    	(4.0408804e+01 -8.6355933e-02 -3.4407683e+01)	1.0832267e+05	2.9234009e+02	1.2879241e+00
5.46294e-05    	(4.0477355e+01 -8.6406173e-02 -3.4465194e+01)	1.0831815e+05	2.9233451e+02	1.2878948e+00
5.4935e-05     	(4.0543399e+01 -8.6375845e-02 -3.4520634e+01)	1.0831388e+05	2.9232913e+02	1.2878676e+00
5.52407e-05    	(4.0607070e+01 -8.6329883e-02 -3.4574134e+01)	1.0830985e+05	2.9232394e+02	1.2878425e+00
5.55462e-05    	(4.0668390e+01 -8.6259985e-02 -3.4625740e+01)	1.0830606e+05	2.9231893e+02	1.2878195e+00
5.58517e-05    	(4.0727453e+01 -8.6182596e-02 -3.4675529e+01)	1.0830250e+05	2.9231410e+02	1.2877984e+00
5.61571e-05    	(4.0784415e+01 -8.6107180e-02 -3.4723642e+01)	1.0829916e+05	2.9230944e+02	1.2877791e+00
5.64625e-05    	(4.0839492e+01 -8.6031489e-02 -3.4770258e+01)	1.0829601e+05	2.9230493e+02	1.2877615e+00
5.67678e-05    	(4.0892957e+01 -8.5960941e-02 -3.4815593e+01)	1.0829302e+05	2.9230054e+02	1.2877452e+00
5.7073e-05     	(4.0945132e+01 -8.5908162e-02 -3.4859892e+01)	1.0829016e+05	2.9229626e+02	1.2877301e+00
5.73782e-05    	(4.0996388e+01 -8.5886231e-02 -3.4903462e+01)	1.0828740e+05	2.9229204e+02	1.2877157e+00
5.76833e-05    	(4.1047156e+01 -8.5905829e-02 -3.4946673e+01)	1.0828468e+05	2.9228786e+02	1.2877017e+00
5.79884e-05    	(4.1097842e+01 -8.5969468e-02 -3.4989873e+01)	1.0828195e+05	2.9228368e+02	1.2876877e+00
5.82934e-05    	(4.1148798e+01 -8.6075380e-02 -3.5033355e+01)	1.0827919e+05	2.9227947e+02	1.2876733e+00
5.85983e-05    	(4.1200329e+01 -8.6224432e-02 -3.5077366e+01)	1.0827635e+05	2.9227520e+02	1.2876583e+00
5.89032e-05    	(4.1252690e+01 -8.6416572e-02 -3.5122112e+01)	1.0827341e+05	2.9227085e+02	1.2876424e+00
5.9208e-05     	(4.1306107e+01 -8.6652324e-02 -3.5167785e+01)	1.0827034e+05	2.9226640e+02	1.2876254e+00
5.95127e-05    	(4.1360738e+01 -8.6926377e-02 -3.5214512e+01)	1.0826712e+05	2.9226184e+02	1.2876072e+00
5.98174e-05    	(4.1416674e+01 -8.7246460e-02 -3.5262359e+01)	1.0826374e+05	2.9225716e+02	1.2875876e+00
6.01219e-05    	(4.1473947e+01 -8.7621149e-02 -3.5311357e+01)	1.0826021e+05	2.9225236e+02	1.2875667e+00
6.04265e-05    	(4.1532484e+01 -8.8041651e-02 -3.5361425e+01)	1.0825652e+05	2.9224743e+02	1.2875444e+00
6.07309e-05    	(4.1592095e+01 -8.8501803e-02 -3.5412367e+01)	1.0825270e+05	2.9224241e+02	1.2875210e+00
6.10353e-05    	(4.1652575e+01 -8.9004080e-02 -3.5463989e+01)	1.0824876e+05	2.9223730e+02	1.2874967e+00
6.13396e-05    	(4.1713685e+01 -8.9544525e-02 -3.5516066e+01)	1.0824475e+05	2.9223213e+02	1.2874717e+00
6.16438e-05    	(4.1775099e+01 -9.0129480e-02 -3.5568323e+01)	1.0824070e+05	2.9222692e+02	1.2874463e+00
6.1948e-05     	(4.1836442e+01 -9.0752632e-02 -3.5620441e+01)	1.0823663e+05	2.9222171e+02	1.2874209e+00
6.22521e-05    	(4.1897371e+01 -9.1429155e-02 -3.5672095e+01)	1.0823261e+05	2.9221653e+02	1.2873957e+00
6.25561e-05    	(4.1957392e+01 -9.2187795e-02 -3.5722879e+01)	1.0822867e+05	2.9221142e+02	1.2873714e+00
6.28601e-05    	(4.2016043e+01 -9.2961928e-02 -3.5772513e+01)	1.0822487e+05	2.9220642e+02	1.2873481e+00
6.3164e-05     	(4.2072874e+01 -9.3730448e-02 -3.5820603e+01)	1.0822126e+05	2.9220156e+02	1.2873265e+00
6.34678e-05    	(4.2127545e+01 -9.4455367e-02 -3.5866863e+01)	1.0821789e+05	2.9219688e+02	1.2873069e+00
6.37716e-05    	(4.2179519e+01 -9.5119927e-02 -3.5910848e+01)	1.0821480e+05	2.9219243e+02	1.2872898e+00
6.40753e-05    	(4.2228503e+01 -9.5734776e-02 -3.5952304e+01)	1.0821205e+05	2.9218823e+02	1.2872754e+00
6.4379e-05     	(4.2274128e+01 -9.6332429e-02 -3.5990935e+01)	1.0820967e+05	2.9218433e+02	1.2872642e+00
