# Field minima and maxima
# Time         	field          	min            	location(min)  	processor      	max            	location(max)  	processor      
5.01139e-07    	gradP          	0.0000000e+00	(8.3358082e-03 4.4180153e-03 9.8950861e-03)	0	2.4633693e+08	(-1.1517101e-02 4.9424038e-03 8.1813832e-03)	3
1.95586e-05    	gradP          	0.0000000e+00	(1.0266526e-02 4.5716250e-03 7.9171129e-03)	0	2.2702724e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
1.99821e-05    	gradP          	0.0000000e+00	(1.0054457e-02 7.0803341e-03 8.1834885e-03)	0	2.2964562e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
2.04056e-05    	gradP          	0.0000000e+00	(6.1288768e-03 3.9031858e-03 3.9419199e-03)	0	2.3200130e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
2.08291e-05    	gradP          	0.0000000e+00	(6.4438559e-03 3.0428627e-03 3.8648301e-03)	0	2.3409519e+08	(-7.5991168e-03 5.7054430e-03 1.1985305e-02)	1
2.12526e-05    	gradP          	0.0000000e+00	(9.8849739e-03 3.0406791e-03 8.0862952e-03)	0	2.3590819e+08	(-7.5990934e-03 5.7054491e-03 1.1985258e-02)	1
2.16761e-05    	gradP          	0.0000000e+00	(6.2932895e-03 3.9031681e-03 3.6374245e-03)	0	5.0377024e+08	(-1.3102213e-02 5.8138056e-03 5.3608349e-03)	3
2.20996e-05    	gradP          	0.0000000e+00	(6.4474854e-03 7.4330774e-03 3.3986828e-03)	0	5.2186114e+08	(-1.3110684e-02 5.8356086e-03 5.4569099e-03)	3
2.25231e-05    	gradP          	0.0000000e+00	(1.1317475e-02 6.2958902e-03 6.3174327e-03)	0	5.1598073e+08	(-1.3110684e-02 5.8356086e-03 5.4569099e-03)	3
2.29466e-05    	gradP          	0.0000000e+00	(1.1176833e-02 6.9233943e-03 6.4888173e-03)	0	5.3329995e+08	(-1.3110684e-02 5.8356086e-03 5.4569099e-03)	3
2.33701e-05    	gradP          	0.0000000e+00	(1.0824979e-02 7.6697647e-03 7.0837360e-03)	0	5.3906781e+08	(-1.3110684e-02 5.8356086e-03 5.4569099e-03)	3
2.37936e-05    	gradP          	0.0000000e+00	(1.7984791e-03 3.1568144e-03 -9.4534146e-03)	5	5.4459582e+08	(-1.3110684e-02 5.8356086e-03 5.4569099e-03)	3
2.42171e-05    	gradP          	0.0000000e+00	(1.1317480e-02 5.0406975e-03 6.3174360e-03)	0	5.4950341e+08	(-1.3110684e-02 5.8356086e-03 5.4569099e-03)	3
2.46406e-05    	gradP          	0.0000000e+00	(1.9577705e-03 7.5157122e-03 -1.0241353e-02)	5	5.5386597e+08	(-1.3110684e-02 5.8356086e-03 5.4569099e-03)	3
2.50641e-05    	gradP          	0.0000000e+00	(-4.4917388e-03 3.0440562e-03 -1.2148736e-02)	4	5.6098818e+08	(-1.3110684e-02 5.8356086e-03 5.4569099e-03)	3
2.54876e-05    	gradP          	0.0000000e+00	(2.1100042e-03 7.5929596e-03 -1.0239026e-02)	5	5.6894543e+08	(-1.3110684e-02 5.8356086e-03 5.4569099e-03)	3
2.59111e-05    	gradP          	0.0000000e+00	(3.8522574e-04 3.1937284e-03 -8.5160256e-03)	5	5.7634836e+08	(-1.3110684e-02 5.8356086e-03 5.4569099e-03)	3
2.63345e-05    	gradP          	0.0000000e+00	(-4.0254989e-03 3.0439874e-03 -1.2307095e-02)	4	5.8294117e+08	(-1.3110684e-02 5.8356086e-03 5.4569099e-03)	3
